INFO  - BEEcob2j.main(97   ) | package    : cl.bee.beebank.cloud.core.gns
INFO  - BEEcob2j.main(98   ) | jsonparams : { 'logger_in_out_methods': true, 'alert_diff_length_redefined': false, 'alert_type_change': false, 'alert_max_digits_exceeded': false, 'alert_low_high_value_undefined_type':false, 'testing_values': true }
ERROR - ModelVisitor.setArrayOffsets(373  ) | [GNSPPIDM.pco] no se encontro definicion de 'FRM-PROG'.
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/PRINCIPAL] CallStatement:: no implementada aun {CALL "TPSVCSTART" USING TPSVCDEF-REC TPTYPE-REC DFHCOMMAREA TPSTATUS-REC}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/PRINCIPAL] CallStatement:: no implementada aun {CALL "TPGETLEV" USING TPTRXLEV-REC TPSTATUS-REC}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/PRINCIPAL] CallStatement:: no implementada aun {CALL "TPSUSPEND" USING TPTRXDEF-REC TPSTATUS-REC}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/PRINCIPAL] CallStatement:: no implementada aun {CALL "TPRESUME" USING TPTRXDEF-REC TPSTATUS-REC}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/PRINCIPAL] CallStatement:: no implementada aun {CALL "TPRETURN" USING TPSVCRET-REC TPTYPE-REC DFHCOMMAREA TPSTATUS-REC}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/GNS-FIO-DTC] CallStatement:: no implementada aun {CALL "TPCALL" USING TPSVCDEF-REC TPTYPE-REC SEND-STRING-FIO TPTYPE-REC RECV-STRING-FIO TPSTATUS-REC}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/TUX-BACK-OUT] CallStatement:: no implementada aun {CALL "TPGETLEV" USING TPTRXLEV-REC TPSTATUS-REC}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/TUX-BACK-OUT] CallStatement:: no implementada aun {CALL "TPSUSPEND" USING TPTRXDEF-REC TPSTATUS-REC}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/TUX-BACK-OUT] CallStatement:: no implementada aun {CALL "TPRESUME" USING TPTRXDEF-REC TPSTATUS-REC}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/GNS-PRO-FRM] CallStatement:: no implementada aun {CALL "TPRETURN" USING TPSVCRET-REC TPTYPE-REC FRM-CMMA TPSTATUS-REC}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/GNS-PRO-FRM] CallStatement:: no implementada aun {CALL "TPFORWARD" USING TPSVCDEF-REC TPTYPE-REC FRM-CMMA TPSTATUS-REC}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/GNS-PRO-FRM] CallStatement:: no implementada aun {CALL "TPFORWARD" USING TPSVCDEF-REC TPTYPE-REC FRM-CMMA TPSTATUS-REC}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/GNS-PRO-FRM] CallStatement:: no implementada aun {CALL "TPCALL" USING TPSVCDEF-REC TPTYPE-REC FRM-CMMA TPTYPE-REC FRM-CMMA TPSTATUS-REC}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/GNS-PRO-SYS] CallStatement:: no implementada aun {CALL "TPCALL" USING TPSVCDEF-REC TPTYPE-REC FYH-CMMA TPTYPE-REC FYH-CMMA TPSTATUS-REC}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/GNS-PRO-SYS] CallStatement:: no implementada aun {CALL "TPCALL" USING TPSVCDEF-REC TPTYPE-REC FYH-CMMA TPTYPE-REC FYH-CMMA TPSTATUS-REC}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/GNS-PRO-SYS] CallStatement:: no implementada aun {CALL "TPRETURN" USING TPSVCRET-REC TPTYPE-REC SYS-CMMA TPSTATUS-REC}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/GNS-PRO-SYS] CallStatement:: no implementada aun {CALL "TPFORWARD" USING TPSVCDEF-REC TPTYPE-REC SYS-CMMA TPSTATUS-REC}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/GNS-PRO-SYS] CallStatement:: no implementada aun {CALL "TPCALL" USING TPSVCDEF-REC TPTYPE-REC SYS-CMMA TPTYPE-REC SYS-CMMA TPSTATUS-REC}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/GNS-PRO-SYS] CallStatement:: no implementada aun {CALL "TPFORWARD" USING TPSVCDEF-REC TPTYPE-REC SYS-MENS TPSTATUS-REC}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/DO-USERLOG] CallStatement:: no implementada aun {CALL "USERLOG" USING LOGMSG LOGMSG-LEN TPSTATUS-REC}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/VAL-VRF] CallStatement:: no implementada aun {CALL 'GNSPKVRF' USING VRF-VARI}
DEBUG - ConvertVisitor.visit(2576 ) | [GNSPPIDM.pco/GNS-PRO-QUE] CallStatement:: no implementada aun {CALL "TPFORWARD" USING TPSVCDEF-REC TPTYPE-REC QUE-MENS TPSTATUS-REC}
